Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Department,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Hours Worked,Gross Pay,Total Deductions,Net Pay
10001,Garcia,Manuel III,06/22/2026,"Valero Carpark Building, Valero Street, 1227, Makati City",966-860-27011,44-4506057-3,820126853951,442-605-657-000,691295330870,Regular,Chief Executive Officer,Executive,N/A,"90,000","1,500","2,000","1,000",45000.00,535.71,147.78,79169.01,13261.05,65907.96
10002,Lim,Antonio,06/19/1988,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",171-867-411,52-2061274-9,331735646338,683-102-776-000,663904995411,Regular,Chief Operating Officer,Executive,"Garcia, Manuel III","60,000","1,500","2,000","1,000",30000.00,357.14,139.00,49642.46,6712.60,42929.86
10003,Aquino,Bianca Sofia,08/04/1989,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",966-889-370,30-8870406-2,177451189665,971-711-280-000,171519773969,Regular,Chief Finance Officer,Executive,"Garcia, Manuel III","60,000","1,500","2,000","1,000",30000.00,357.14,150.43,53725.76,7578.26,46147.50
10004,Reyes,Isabella,06/16/1994,"460 Solanda Street Intramuros 1000, Manila",786-868-477,40-2511815-0,341911411254,876-809-437-000,416946776041,Regular,Chief Marketing Officer,Executive,"Garcia, Manuel III","60,000","1,500","2,000","1,000",30000.00,357.14,148.02,52862.67,7395.29,45467.39
10005,Hernandez,Eduard,09/23/1989,"National Highway, Gingoog,  Misamis Occidental",088-861-012,50-5577638-1,957436191812,031-702-374-000,952347222457,Regular,IT Operations and Systems,IT,"Lim, Antonio","52,670","1,500","1,000","1,000",26335.00,313.51,145.85,45725.43,5882.19,39843.24
10006,Villanueva,Andrea Mae,02/14/1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands",918-621-603,49-1632020-8,382189453145,317-674-022-000,441093369646,Regular,HR Manager,Human Resources,"Lim, Antonio","52,670","1,500","1,000","1,000",26335.00,313.51,148.70,46618.94,6071.61,40547.32
10007,San Jose,Brad,03/15/1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,239192926939,672-474-690-000,210850209964,Regular,HR Team Leader,Human Resources,"Villanueva, Andrea Mae","42,975","1,500",800,800,21487.50,255.80,142.22,36379.02,3900.75,32478.27
10008,Romualdez,Alice,05/14/1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte",983-606-799,55-4476527-2,545652640232,888-572-294-000,211385556888,Regular,HR Rank and File,Human Resources,"San, Jose Brad","22,500","1,500",500,500,11250.00,133.93,153.55,20564.95,1330.97,19233.98
10009,Atienza,Rosie,09/24/1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,708988234853,604-997-793-000,260107732354,Regular,HR Rank and File,Human Resources,"San, Jose Brad","22,500","1,500",500,500,11250.00,133.93,148.32,19864.05,1297.96,18566.09
10010,Alvaro,Roderick,03/30/1988,"#284 T. Morato corner, Scout Rallos Street, Quezon City",053-381-386,64-7605054-4,578114853194,525-420-419-000,799254095212,Regular,Accounting Head,Accounting,"Aquino, Bianca Sofia","52,670","1,500","1,000","1,000",26335.00,313.51,144.47,45291.74,5790.25,39501.49
